ID,FirstName,LastName,GivenName,BirthCity,BirthState,BirthCountry,BirthDate,Bats,Throws,Weight,Height,Debut
33,Bobby,Abreu,Bob Kelly,Maracay,Aragua,Venezuela,1974-03-11,L,R,220.0,72.0,1996-09-01
34,Joe,Abreu,Joseph Lawrence,Oakland,CA,USA,1913-05-24,R,R,160.0,68.0,1942-04-23
35,Jose,Abreu,Jose Dariel,Cienfuegos,Cienfuegos,Cuba,1987-01-29,R,R,255.0,75.0,2014-03-31
36,Juan,Abreu,Juan de Dios,San Francisco de Macoris,Duarte,D.R.,1985-04-08,R,R,185.0,72.0,2011-08-29
37,Tony,Abreu,Etanislao Toni,Puerto Plata,Puerto Plata,D.R.,1984-11-13,B,R,200.0,70.0,2007-05-22
38,Winston,Abreu,Winston Leonardo,Cotui,Sanchez Ramirez,D.R.,1977-04-05,R,R,170.0,74.0,2006-08-06
39,Bill,Abstein,William Henry,St. Louis,MO,USA,1883-02-02,R,R,185.0,72.0,1906-09-25
40,Jeremy,Accardo,Jeremiah Lee,Phoenix,AZ,USA,1981-12-18,R,R,195.0,72.0,2005-05-04
41,Alfredo,Aceves,Alfredo,San Luis Rio Colorado,Sonora,Mexico,1982-12-08,R,R,205.0,74.0,2008-08-31
42,Jose,Acevedo,Jose Omar,Santo Domingo,Distrito Nacional,D.R.,1977-12-18,R,R,185.0,72.0,2001-06-19
43,Juan,Acevedo,Juan Carlos,Ciudad Juarez,Chihuahua,Mexico,1970-05-05,R,R,245.0,74.0,1995-04-30
44,A. J.,Achter,Adam Joseph,Toledo,OH,USA,1988-08-27,R,R,205.0,77.0,2014-09-03
45,Jim,Acker,James Justin,Freer,TX,USA,1958-09-24,R,R,210.0,74.0,1983-04-07
46,Tom,Acker,Thomas James,Paterson,NJ,USA,1930-03-07,R,R,215.0,76.0,1956-04-20
47,Dustin,Ackley,Dustin Michael,Winston-Salem,NC,USA,1988-02-26,L,R,205.0,73.0,2011-06-17
48,Fritz,Ackley,Florian Frederick,Hayward,WI,USA,1937-04-10,L,R,202.0,73.0,1963-09-21
49,Cy,Acosta,Cecilio,El Sabino,Sinaloa,Mexico,1946-11-22,R,R,165.0,70.0,1972-06-04
50,Ed,Acosta,Eduardo Elixbet,Boquete,,Panama,1944-03-09,B,R,215.0,77.0,1970-09-07
51,Jose,Acosta,Jose,La Habana,La Habana,Cuba,1891-03-04,R,R,134.0,66.0,1920-07-28
52,Manny,Acosta,Manuel Alcides,Colon,Colon,Panama,1981-05-01,R,R,215.0,76.0,2007-08-12
53,Merito,Acosta,Baldomero Pedro,Bauta,,Cuba,1896-05-19,L,L,140.0,67.0,1913-06-15
54,Mark,Acre,Mark Robert,Concord,CA,USA,1968-09-16,R,R,235.0,80.0,1994-05-13
55,Manny,Acta,Manuel Elias,San Pedro de Macoris,San Pedro de Macoris,D.R.,1969-01-11,R,R,172.0,74.0,
56,Bill,Adair,Marion Danne,Mobile,AL,USA,1913-02-10,R,R,168.0,72.0,
57,Jerry,Adair,Kenneth Jerry,Sand Springs,OK,USA,1936-12-17,R,R,175.0,72.0,1958-09-02
58,Jimmy,Adair,James Audrey,Waxahachie,TX,USA,1907-01-25,R,R,154.0,70.0,1931-08-24
59,Cristhian,Adames,Cristhian Pascual,Santo Domingo,Distrito Nacional,D.R.,1991-07-26,B,R,185.0,72.0,2014-07-29
60,Ace,Adams,Ace Townsend,Willows,CA,USA,1910-03-02,R,R,182.0,70.0,1941-04-15
61,Austin,Adams,Austin David,Montgomery,AL,USA,1986-08-19,R,R,200.0,71.0,2014-07-12
62,Babe,Adams,Charles Benjamin,Tipton,IN,USA,1882-05-18,L,R,185.0,71.0,1906-04-18
63,Bert,Adams,John Bertram,Wharton,TX,USA,1891-06-21,B,R,185.0,73.0,1910-08-30
64,Bob,Adams,Robert Burnette,Holyoke,MA,USA,1901-07-24,R,R,168.0,71.0,1925-09-22
65,Bob,Adams,Robert Andrew,Birmingham,AL,USA,1907-01-20,R,R,165.0,72.0,1931-09-27
66,Bobby,Adams,Robert Henry,Tuolumne,CA,USA,1921-12-14,R,R,160.0,70.0,1946-04-16
67,Bob,Adams,Robert Melvin,Pittsburgh,PA,USA,1952-01-06,R,R,200.0,74.0,1977-07-10
68,Buster,Adams,Elvin Clark,Trinidad,CO,USA,1915-06-24,R,R,180.0,72.0,1939-04-27
69,Dan,Adams,Daniel Leslie,St. Louis,MO,USA,1887-06-19,R,R,165.0,71.0,1914-05-22
70,David,Adams,David Lee,Margate,FL,USA,1987-05-15,R,R,205.0,73.0,2013-05-15
71,Dick,Adams,Richard Leroy,Tuolumne,CA,USA,1920-04-08,R,L,185.0,72.0,1947-05-20
72,Doug,Adams,Harold Douglas,Blue River,WI,USA,1943-01-27,L,R,185.0,75.0,1969-09-08
73,George,Adams,George Henry,Worcester,MA,USA,1855-01-26,R,R,175.0,66.0,1879-06-14
74,Glenn,Adams,Glenn Charles,Northbridge,MA,USA,1947-10-04,L,R,180.0,73.0,1975-05-04
75,Herb,Adams,Herbert Loren,Hollywood,CA,USA,1928-04-14,L,L,160.0,69.0,1948-09-17
76,Jim,Adams,James J.,East St. Louis,IL,USA,,,R,148.0,66.0,1890-04-21
77,Joe,Adams,Joseph Edward,Cowden,IL,USA,1877-10-28,R,L,190.0,72.0,1902-04-26
78,Joel,Adamson,Joel Lee,Lakewood,CA,USA,1971-07-02,L,L,185.0,76.0,1996-04-10
79,Karl,Adams,Karl Tutwiler,Columbus,GA,USA,1891-08-11,R,R,170.0,74.0,1914-04-19
80,Lane,Adams,Lane Weston,Talihina,OK,USA,1989-11-13,R,R,190.0,76.0,2014-09-01
81,Matt,Adams,Matthew James,Philipsburg,PA,USA,1988-08-31,L,R,260.0,75.0,2012-05-20
82,Mike,Adamson,John Michael,San Diego,CA,USA,1947-09-13,R,R,185.0,74.0,1967-07-01
83,Mike,Adams,Robert Michael,Cincinnati,OH,USA,1948-07-24,R,R,180.0,69.0,1972-09-10
84,Mike,Adams,Jon Michael,Corpus Christi,TX,USA,1978-07-29,R,R,210.0,77.0,2004-05-18
85,Red,Adams,Charles Dwight,Parlier,CA,USA,1921-10-07,R,R,185.0,72.0,1946-05-05
86,Rick,Adams,Reuben Alexander,Paris,TX,USA,1878-12-24,L,L,165.0,72.0,1905-07-13
87,Ricky,Adams,Ricky Lee,Upland,CA,USA,1959-01-21,R,R,180.0,74.0,1982-09-15
88,Russ,Adams,Russ Moore,Laurinburg,NC,USA,1980-08-30,L,R,205.0,72.0,2004-09-03
89,Ryan,Adams,Ryan Scott,New Orleans,LA,USA,1987-04-21,R,R,185.0,71.0,2011-05-20
90,Sparky,Adams,Earl John,Zerbe,PA,USA,1894-08-26,R,R,151.0,65.0,1922-09-18
91,Spencer,Adams,Spencer Dewey,Layton,UT,USA,1898-06-21,L,R,158.0,69.0,1923-04-22
92,Terry,Adams,Terry Wayne,Mobile,AL,USA,1973-03-06,R,R,180.0,75.0,1995-08-10
93,Willie,Adams,James Irvin,Clearfield,PA,USA,1890-09-27,R,R,180.0,76.0,1912-06-30
94,Willie,Adams,William Edward,Gallup,NM,USA,1972-10-08,R,R,215.0,79.0,1996-06-11
95,Joe,Adcock,Joseph Wilbur,Coushatta,LA,USA,1927-10-30,R,R,210.0,76.0,1950-04-23
96,Nathan,Adcock,Nathan Masler,Elizabethtown,KY,USA,1988-02-25,R,R,235.0,76.0,2011-03-31
97,Bob,Addis,Robert Gordon,Mineral,OH,USA,1925-11-06,L,R,175.0,72.0,1950-09-01
98,Jim,Adduci,James David,Chicago,IL,USA,1959-08-09,L,L,200.0,77.0,1983-09-12
99,Jim,Adduci,Jim Charles,Burnaby,BC,CAN,1985-05-15,L,L,210.0,74.0,2013-09-01
100,Bob,Addy,Robert Edward,Port Hope,ON,CAN,,L,L,160.0,68.0,1871-05-06
101,Nick,Adenhart,Nicholas James,Silver Spring,MD,USA,1986-08-24,R,R,185.0,75.0,2008-05-01
102,Morrie,Aderholt,Morris Woodrow,Mount Olive,NC,USA,1915-09-13,L,R,188.0,73.0,1939-09-13
103,Dewey,Adkins,John Dewey,Norcatur,KS,USA,1918-05-11,R,R,195.0,74.0,1942-09-19
104,Dick,Adkins,Richard Earl,Electra,TX,USA,1920-03-03,R,R,165.0,70.0,1942-09-19
105,Doc,Adkins,Merle Theron,Troy,WI,USA,1872-08-05,R,R,220.0,70.0,1902-06-24
106,Grady,Adkins,Grady Emmett,Jacksonville,AR,USA,1897-06-29,R,R,175.0,71.0,1928-04-13
107,Harry,Atkinson,John Harry,Fulton,MO,USA,1874-01-19,,,,,1895-09-25
108,Jon,Adkins,Jonathan Scott,Huntington,WV,USA,1977-08-30,L,R,200.0,72.0,2003-08-14
109,Steve,Adkins,Steven Thomas,Chicago,IL,USA,1964-10-26,R,L,210.0,78.0,1990-09-12
110,Dave,Adlesh,David George,Long Beach,CA,USA,1943-07-15,R,R,187.0,72.0,1963-05-12
111,Ehire,Adrianza,Ehire Enrique,Guarenas,Miranda,Venezuela,1989-08-21,B,R,170.0,73.0,2013-09-08
112,Troy,Afenir,Michael Troy,Escondido,CA,USA,1963-09-21,R,R,185.0,76.0,1987-09-14
113,Jeremy,Affeldt,Jeremy David,Phoenix,AZ,USA,1979-06-06,L,L,225.0,76.0,2002-04-06
114,Benny,Agbayani,Benny Peter,Honolulu,HI,USA,1971-12-28,R,R,225.0,72.0,1998-06-17
115,Tommie,Agee,Tommie Lee,Magnolia,AL,USA,1942-08-09,R,R,195.0,71.0,1962-09-14
116,Harry,Agganis,Harry,Lynn,MA,USA,1929-04-20,L,L,200.0,74.0,1954-04-13
117,Joe,Agler,Joseph Abram,Coshocton,OH,USA,1887-06-12,L,L,165.0,71.0,1912-10-01
118,Sam,Agnew,Samuel Lester,Farmington,MO,USA,1887-04-12,R,R,185.0,71.0,1913-04-10
119,Juan,Agosto,Juan Roberto,Rio Piedras,,P.R.,1958-02-23,L,L,190.0,74.0,1981-09-07
120,Luis,Aguayo,Luis,Vega Baja,,P.R.,1959-03-13,R,R,173.0,69.0,1980-04-19
121,Chris,Aguila,Christopher Louis,Redwood City,CA,USA,1979-02-23,R,R,200.0,71.0,2004-06-28
122,Jesus,Aguilar,Jesus Alexander,Maracay,Aragua,Venezuela,1990-06-30,R,R,250.0,75.0,2014-05-15
123,Rick,Aguilera,Richard Warren,San Gabriel,CA,USA,1961-12-31,R,R,195.0,76.0,1985-06-12
124,Hank,Aguirre,Henry John,Azusa,CA,USA,1931-01-31,R,L,205.0,76.0,1955-09-10
125,Bill,Ahearn,William H.,Troy,NY,USA,,,,,,1880-06-19
126,Pat,Ahearne,Patrick Howard,San Francisco,CA,USA,1969-12-10,R,R,195.0,75.0,1995-06-14
127,Nick,Ahmed,Nicholas Mark,Springfield,MA,USA,1990-03-15,R,R,195.0,74.0,2014-06-29
128,Willie,Aikens,Willie Mays,Seneca,SC,USA,1954-10-14,L,R,220.0,75.0,1977-05-17
129,Danny,Ainge,Daniel Ray,Eugene,OR,USA,1959-03-17,R,R,175.0,76.0,1979-05-21
130,Eddie,Ainsmith,Edward Wilbur,,,Russia,1890-02-04,R,R,180.0,71.0,1910-08-09
131,Kurt,Ainsworth,Kurt Harold,Baton Rouge,LA,USA,1978-09-09,R,R,192.0,75.0,2001-09-05
132,Raleigh,Aitchison,Raleigh Leonidas,Tyndall,SD,USA,1887-12-05,R,L,175.0,71.0,1911-04-19
133,George,Aiton,George Wilson,Kingman,KS,USA,1890-12-29,B,R,175.0,71.0,1912-06-29
134,John,Ake,John Leckie,Altoona,PA,USA,1861-08-29,R,R,180.0,73.0,1884-05-12
135,Darrel,Akerfelds,Darrel Wayne,Denver,CO,USA,1962-06-12,R,R,210.0,74.0,1986-08-01
136,Jack,Aker,Jackie Delane,Tulare,CA,USA,1940-07-13,R,R,190.0,74.0,1964-05-03
137,Bill,Akers,William G.,Chattanooga,TN,USA,1904-12-25,R,R,178.0,71.0,1929-09-08
138,Jerry,Akers,Albert Earl,Shelbyville,IN,USA,1887-11-01,R,R,175.0,71.0,1912-05-04
139,Gibson,Alba,Gibson Alberto,Santiago,Santiago,D.R.,1960-01-18,L,L,160.0,74.0,1988-05-03
140,Jonathan,Albaladejo,Jonathan,San Juan,,P.R.,1982-10-30,R,R,270.0,77.0,2007-09-05
141,Joe,Albanese,Joseph Peter,New York,NY,USA,1933-06-26,R,R,215.0,75.0,1958-07-18
142,Andrew,Albers,Andrew William,North Battleford,SK,CAN,1985-10-06,R,L,200.0,73.0,2013-08-06
143,Butch,Alberts,Francis Burt,Williamsport,PA,USA,1950-05-04,R,R,205.0,74.0,1978-09-07
144,Cy,Alberts,Frederick Joseph,Grand Rapids,MI,USA,1882-01-14,R,R,230.0,72.0,1910-09-17
145,Gus,Alberts,Augustus Peter,Reading,PA,USA,,R,R,180.0,66.0,1884-05-01
146,Hanser,Alberto,Hanser Joel,San Francisco de Macoris,Duarte,D.R.,1992-10-17,R,R,215.0,71.0,2015-05-29
147,Jose,Alberro,Jose Edgardo,San Juan,,P.R.,1969-06-29,R,R,190.0,74.0,1995-04-27
148,Matt,Albers,Matthew James,Houston,TX,USA,1983-01-20,L,R,225.0,73.0,2006-07-25
149,Ed,Albosta,Edward John,Saginaw,MI,USA,1918-10-27,R,R,175.0,73.0,1941-09-03
150,Ed,Albrecht,Edward Arthur,St. Louis,MO,USA,1929-02-28,R,R,165.0,70.0,1949-10-02
151,Jack,Albright,Harold John,St. Petersburg,FL,USA,1921-06-30,R,R,175.0,69.0,1947-05-19
152,Al,Alburquerque,Alberto Jose,San Pedro de Macoris,San Pedro de Macoris,D.R.,1986-06-10,R,R,195.0,72.0,2011-04-15
153,Vic,Albury,Victor,Key West,FL,USA,1947-05-12,L,L,190.0,72.0,1973-08-07
154,Santo,Alcala,Santo,San Pedro de Macoris,San Pedro de Macoris,D.R.,1952-12-23,R,R,195.0,77.0,1976-04-10
155,Arismendy,Alcantara,Arismendy,Santo Domingo,Distrito Nacional,D.R.,1991-10-29,B,R,170.0,70.0,2014-07-09
156,Israel,Alcantara,Israel,Bani,Peravia,D.R.,1973-05-06,R,R,180.0,74.0,2000-06-25
157,Luis,Alcaraz,Angel Luis,Humacao,,P.R.,1941-06-20,R,R,165.0,69.0,1967-09-13
158,Scotty,Alcock,John Forbes,Wooster,OH,USA,1885-11-29,R,R,160.0,69.0,1914-04-19
159,Dale,Alderson,Dale Leonard,Belden,NE,USA,1918-03-09,R,R,190.0,70.0,1943-09-18
160,Mike,Aldrete,Michael Peter,Carmel,CA,USA,1961-01-29,L,L,180.0,71.0,1986-05-28
161,Scott,Aldred,Scott Phillip,Flint,MI,USA,1968-06-12,L,L,195.0,76.0,1990-09-09
162,Cory,Aldridge,Cory Jerome,San Angelo,TX,USA,1979-06-13,L,R,210.0,72.0,2001-09-05
163,Jay,Aldrich,Jay Robert,Alexandria,LA,USA,1961-04-14,R,R,210.0,75.0,1987-06-05
164,Vic,Aldridge,Victor,Crane,IN,USA,1893-10-25,R,R,175.0,69.0,1917-04-15
165,Chuck,Aleno,Charles,St. Louis,MO,USA,1917-02-19,R,R,215.0,73.0,1941-05-15
166,Bob,Alexander,Robert Somerville,Vancouver,BC,CAN,1922-08-07,R,R,205.0,74.0,1955-04-11
167,Dale,Alexander,David Dale,Greeneville,TN,USA,1903-04-26,R,R,210.0,75.0,1929-04-16
168,Doyle,Alexander,Doyle Lafayette,Cordova,AL,USA,1950-09-04,R,R,190.0,75.0,1971-06-26
169,Gary,Alexander,Gary Wayne,Los Angeles,CA,USA,1953-03-27,R,R,195.0,74.0,1975-09-12
170,Gerald,Alexander,Gerald Paul,Baton Rouge,LA,USA,1968-03-26,R,R,190.0,71.0,1990-09-09
171,Hugh,Alexander,Hugh,Buffalo,MO,USA,1917-07-10,R,R,190.0,72.0,1937-08-15
172,Matt,Alexander,Matthew,Shreveport,LA,USA,1947-01-30,B,R,168.0,71.0,1973-08-23
173,Manny,Alexander,Manuel de Jesus,San Pedro de Macoris,San Pedro de Macoris,D.R.,1971-03-20,R,R,150.0,70.0,1992-09-18
174,Nin,Alexander,William Henry,Pana,IL,USA,1858-11-24,R,R,163.0,64.0,1884-06-07
175,Pete,Alexander,Grover Cleveland,Elba,NE,USA,1887-02-26,R,R,185.0,73.0,1911-04-15
176,Scott,Alexander,Scott Alain,Santa Rosa,CA,USA,1989-07-10,L,L,190.0,74.0,2015-09-02
177,Walt,Alexander,Walter Ernest,Atlanta,GA,USA,1891-03-05,R,R,165.0,70.0,1912-06-21
178,Jason,Alfaro,Jason,San Antonio,TX,USA,1977-11-29,R,R,185.0,70.0,2004-09-09
179,Antonio,Alfonseca,Antonio,La Romana,La Romana,D.R.,1972-04-16,R,R,250.0,77.0,1997-06-17
180,Edgardo,Alfonzo,Edgardo Antonio,Santa Teresa del Tuy,Miranda,Venezuela,1973-11-08,R,R,210.0,71.0,1995-04-26
181,Eliezer,Alfonzo,Eliezer Jesus,Puerto La Cruz,Anzoategui,Venezuela,1979-02-07,R,R,220.0,71.0,2006-06-03
182,Luis,Alicea,Luis Rene,Santurce,,P.R.,1965-07-29,B,R,165.0,69.0,1988-04-23
183,Andy,Allanson,Andrew Neal,Richmond,VA,USA,1961-12-22,R,R,220.0,77.0,1986-04-07
184,Brian,Allard,Brian Marshall,Spring Valley,IL,USA,1958-01-03,R,R,175.0,73.0,1979-08-08
185,Bernie,Allen,Bernard Keith,East Liverpool,OH,USA,1939-04-16,L,R,175.0,72.0,1962-04-10
186,Bob,Allen,Robert Gilman,Marion,OH,USA,1867-07-10,R,R,175.0,71.0,1890-04-19
187,Bob,Allen,Robert,Muscoda,WI,USA,1894-10-13,R,R,180.0,70.0,1919-08-20
188,Bob,Allen,Robert Earl,Smithville,TN,USA,1914-07-02,R,R,165.0,73.0,1937-09-19
189,Bob,Allen,Robert Gray,Tatum,TX,USA,1937-10-23,L,L,175.0,74.0,1961-04-14
190,Brandon,Allen,Brandon Durell,Conroe,TX,USA,1986-02-12,L,R,230.0,74.0,2009-08-22
191,Chad,Allen,John Chad,Dallas,TX,USA,1975-02-06,R,R,195.0,73.0,1999-04-06
192,Cody,Allen,Cody Edward,Orlando,FL,USA,1988-11-20,R,R,210.0,73.0,2012-07-20
193,Dick,Allen,Richard Anthony,Wampum,PA,USA,1942-03-08,R,R,187.0,71.0,1963-09-03
194,Dusty,Allen,Dustin R.,Oklahoma City,OK,USA,1972-08-09,R,R,215.0,76.0,2000-07-01
195,Ethan,Allen,Ethan Nathan,Cincinnati,OH,USA,1904-01-01,R,R,180.0,73.0,1926-06-13
196,Frank,Allen,Frank Leon,Newbern,AL,USA,1888-08-26,R,L,175.0,69.0,1912-04-24
197,Gary,Allenson,Gary Martin,Culver City,CA,USA,1955-02-04,R,R,185.0,71.0,1979-04-08
198,Ham,Allen,Frank Erwin,Augusta,ME,USA,1846-04-20,,,,64.0,1872-04-27
199,Hank,Allen,Harold Andrew,Wampum,PA,USA,1940-07-23,R,R,190.0,72.0,1966-09-09
200,Hezekiah,Allen,Hezekiah,Westport,CT,USA,1863-02-25,,,160.0,71.0,1884-05-16
201,Horace,Allen,Horace Tanner,DeLand,FL,USA,1899-06-11,L,R,187.0,72.0,1919-06-15
202,Jack,Allen,Cyrus Alban,Woodstock,IL,USA,1855-10-02,R,R,160.0,,1879-05-01
203,Jamie,Allen,James Bradley,Yakima,WA,USA,1958-05-29,R,R,205.0,72.0,1983-05-01
204,Jermaine,Allensworth,Jermaine LaMont,Anderson,IN,USA,1972-01-11,R,R,178.0,72.0,1996-07-23
205,John,Allen,John Marshall,Berkeley Springs,WV,USA,1890-10-27,R,R,170.0,73.0,1914-06-02
206,Johnny,Allen,John Thomas,Lenoir,NC,USA,1904-09-30,R,R,180.0,72.0,1932-04-19
207,Kim,Allen,Kim Bryant,Fontana,CA,USA,1953-04-05,R,R,175.0,71.0,1980-09-02
208,Lloyd,Allen,Lloyd Cecil,Merced,CA,USA,1950-05-08,R,R,185.0,73.0,1969-09-01
209,Luke,Allen,Lucas Gale,Covington,GA,USA,1978-08-04,L,R,208.0,74.0,2002-09-10
210,Myron,Allen,Myron Smith,Kingston,NY,USA,1854-03-22,R,R,150.0,68.0,1883-07-19
211,Neil,Allen,Neil Patrick,Kansas City,KS,USA,1958-01-24,R,R,185.0,75.0,1979-04-15
212,Nick,Allen,Artemus Ward,Norton,KS,USA,1888-09-14,R,R,180.0,72.0,1914-05-01
213,Pete,Allen,Jesse Hall,Columbiana,OH,USA,1868-05-01,R,R,185.0,68.0,1893-08-04
214,Ron,Allen,Ronald Frederick,Wampum,PA,USA,1943-12-23,B,R,205.0,75.0,1972-08-11
215,Rod,Allen,Roderick Bernet,Los Angeles,CA,USA,1959-10-05,R,R,185.0,73.0,1983-04-07
216,Sled,Allen,Fletcher Manson,West Plains,MO,USA,1886-08-23,R,R,180.0,73.0,1910-05-04
217,Gene,Alley,Leonard Eugene,Richmond,VA,USA,1940-07-10,R,R,160.0,70.0,1963-09-04
218,Bob,Allietta,Robert George,New Bedford,MA,USA,1952-05-01,R,R,190.0,72.0,1975-05-06
219,Gair,Allie,Gair Roosevelt,Statesville,NC,USA,1931-10-28,R,R,190.0,73.0,1954-04-13
220,Andy,Allison,Andrew Kent,New York,NY,USA,,,,150.0,70.0,1872-05-07
221,Art,Allison,Arthur Algernon,Philadelphia,PA,USA,1849-01-29,,,150.0,68.0,1871-05-04
222,Bill,Allison,William,New York,NY,USA,1850-07-16,,,,,1872-05-21
223,Bob,Allison,William Robert,Raytown,MO,USA,1934-07-11,R,R,205.0,75.0,1958-09-16
224,Dana,Allison,Dana Eric,Front Royal,VA,USA,1966-08-14,R,L,215.0,75.0,1991-04-12
225,Doug,Allison,Douglas L.,Philadelphia,PA,USA,1846-07-12,R,R,160.0,70.0,1871-05-05
226,Mack,Allison,Mack Pendleton,Owensboro,KY,USA,1887-01-23,R,R,185.0,73.0,1911-09-13
227,Milo,Allison,Milo Henry,Elk Rapids,MI,USA,1890-10-16,L,R,163.0,72.0,1913-09-26
228,Beau,Allred,Dale LeBeau,Mesa,AZ,USA,1965-06-04,L,L,190.0,72.0,1989-09-07
229,Mel,Almada,Baldomero Melo,Huatabampo,Sonora,Mexico,1913-02-07,L,L,170.0,72.0,1933-09-08
230,Armando,Almanza,Armando,El Paso,TX,USA,1972-10-26,L,L,205.0,75.0,1999-07-29
231,Carlos,Almanzar,Carlos Manuel,Santiago,Santiago,D.R.,1973-11-06,R,R,166.0,74.0,1997-09-04
232,Rafael,Almeida,Rafael D.,La Habana,La Habana,Cuba,1887-06-30,R,R,164.0,69.0,1911-07-04
233,Abraham,Almonte,Abraham,Santo Domingo,Distrito Nacional,D.R.,1989-06-27,B,R,210.0,69.0,2013-08-30
234,Bill,Almon,William Francis,Providence,RI,USA,1952-11-21,R,R,180.0,75.0,1974-09-02
235,Edwin,Almonte,Edwin,Santiago,Santiago,D.R.,1976-12-17,R,R,200.0,75.0,2003-07-07
236,Erick,Almonte,Erick R.,Santo Domingo,Distrito Nacional,D.R.,1978-02-01,R,R,245.0,74.0,2001-09-04
237,Hector,Almonte,Hector Radhames,Santo Domingo,Distrito Nacional,D.R.,1975-10-17,R,R,190.0,74.0,1999-07-26
238,Miguel,Almonte,Miguel Emilio,Santiago,Santiago,D.R.,1993-04-04,R,R,180.0,74.0,2015-09-01
239,Zoilo,Almonte,Zoilo Manuel,Santo Domingo,Distrito Nacional,D.R.,1989-06-10,B,R,205.0,72.0,2013-06-19
240,Luis,Aloma,Luis,La Habana,La Habana,Cuba,1923-06-19,R,R,195.0,74.0,1950-04-19
241,Roberto,Alomar,Roberto,Ponce,,P.R.,1968-02-05,B,R,184.0,72.0,1988-04-22
242,Sandy,Alomar,Santos,Salinas,,P.R.,1943-10-19,B,R,140.0,69.0,1964-09-15
243,Sandy,Alomar,Santos,Salinas,,P.R.,1966-06-18,R,R,200.0,77.0,1988-09-30
