GameID,EventID,Comment,,,,,
3867,71,"ej,crawb001,P,bakej902,Call at 1B on appeal Giants shortstop Brandon Crawford ejected by 1B umpire Jordan Baker for making a comment about the appeal play in the sixth inning",,,,,
3881,28,Giants third baseman Pablo Sandoval left the game due to an injured leg,,,,,
3963,84,"$originally scored as a double, changed to E3 on 8-01-2012",,,,,
3992,67,$Josh Thole ran inside the line to 1B, the throw by catcher Buster Posey attempting to complete the double play at 1B hit Thole on the shoulder, the ball went into RF but HP Umpire Dale Scott called Thole out on the interference,,,
4156,24,"ej,bochb002,M,laynj901,Call at 1B Giants Manager Bruce Bochy ejected by 1B umpire Jerry Layne",,,,,
4185,42,"replay,5,morsm001,WAS,laynj901,SFO03,O,N,I,,H $Michael Morse's fly ball hit the concrete at the top of the wall in right center where the wall juts out; it was ruled in play but the Nationals asked about the call so crew chief Jerry Layne watched the replay and upheld the call",,,,,
4476,32,"$originally scored E7, changed to double on 9-14-2012",,,,,
4476,48,Xavier Nady left with left hamstring injury,,,,,
4476,62,"$Pablo Sandoval caught the throw a couple of steps in front of the 3B bag; John McDonald decided he could not slide with Sandoval's position, so he ran half through and half around Sandoval; Sandoval started down with his glove to tag a sliding baserunner but came back up when McDonald came in standing; after the tag was applied, McDonald fell across the foul line onto the grass and Sandoval walked over as McDonald stood up; Sandoval bumped McDonald; 3B umpire Greg Gibson stepped in, wrapped his arms around Sandoval and started Walking him toward the 3B dugout; 3B coach Matt Williams moved McDonald in the other direction; both benches cleared briefly",,,,,
4527,50,fan interference,,,,,
4640,51,$Brandon Crawford's chopper fell between pitcher Carlos Torres and 2B DJ LaMahieu, LaMahieu stuck out his arm as Xavier Nady ran by and Nady was called for interference when there was contact,,,,
4640,53,"$Angel Pagan threw his bat into the air; HP umpire Angel Hernandez cited Pagan for throwing equipment, which is an automatic fine; Giants manager Bruce Bochy restrained Pagan",,,,,
4640,78,fan interference,,,,,
4669,14,Rockies left fielder Carlos Gonzalez left the game due to an injured leg,,,,,
5063,25,"replay,3,jonea003,BAL,davig901,BAL12,O,Y,I,,H $Adam Jones fly ball hit the rail behind the padded wall in the Orioles bullpen and caromed back onto the field; it was ruled in play but crew chief Gerry Davis watched the replay and overturned the call to a home run",,,,,
5063,39,"ej,maddj801,M,knigb901,Call at 2B Rays Manager Joe Maddon ejected by 2B umpire Brian Knight",,,,,
5130,42,"originally scored as WP, changed to PB on 4-24-2013, makes his run unearned",,,,,
5156,69,"ej,gibbj001,,dimum901,Called third strike Blue Jays Manager John Gibbons ejected by HP umpire Mike DiMuro",,,,,
5479,22,"replay,3,molij001,TBA,davig901,BAL12,O,N,I,,H $Jose Molina's fly ball struck the top of the padded wall behind Adam Jones' outstretched arm; the ball caromed back onto the field and was ruled in play; Rays manager Joe Maddon asked about the ruling so crew chief Gerry Davis watched the replay and upheld the call",,,,,
5479,44,Jose Molina left with a tight left hamstring,,,,,
5494,40,"replay,6,joycm001,TBA,davig901,BAL12,O,Y,I,,H $Matt Joyce hit a fly ball down the RF line which was ruled fair and in play; Joyce reached 2B; Orioles manager Buck Showalter talked to the umpires claiming it was a foul ball; the umpires huddled and Rays manager Joe Maddon came onto the field; crew chief Gerry Davis watched the replay and overturned the call to a home run; the ball had actually struck the RF pole on the lowest part, which is painted black",,,,,
5507,29,fan interference,,,,,
5507,38,fan interference,,,,,
5536,29,Yankees pitcher Hiroki Kuroda left the game due to an injured leg,,,,,
5673,27,"ej,hammj002,P,wendh902,Intentional HBP Orioles pitcher Jason Hammel ejected by HP umpire Hunter Wendelstedt and both teams warned by Wendelstedt",,,,,
5805,26,$J.J. Hardy called out due to fan interference,,,,,
5834,17,Mike Napoli left with an unknown illness,,,,,
5875,52,Red Sox left fielder Mike Carp left the game due to an injured leg,,,,,
5989,0,$Debut for umpire Will Little,,,,,
6023,43,"ej,machm001,P,littw901,Balls and strikes Orioles third baseman Manny Machado ejected by HP umpire Will Little",,,,,
6023,46,"$SS Mike Aviles ruled off the bag at 2B; Adam Jones thought he was out and left the field, which caused him to be called out",,,,,
6023,47,previous two plays really one playm but our software can't handle an error and an out on the same runner on the same play,,,,,
6188,63,$Manny Machado called for interference for getting in the way of catcher A.J. Pierzynski during a steal attempt by Nick Markakis,,,,,
6203,32,"replay,4,robeb003,BAL,culbf901,BAL12,O,N,I,,H $Brian Roberts hit a fly ball to CF in front of the bleachers; the ball struck the heel of Engel Beltre's glove and caromed off the top of the padded wall; the ball was ruled in play; when the Orioles asked about the ruling, crew chief Fieldin Culbreth watched the replay and upheld the call",,,,,
6245,61,"originally scored as K+WP, but WP removed on 7-19-2013 per rule 10.13",,,,,
6395,0,27 minute rain delay before start of game,,,,,
6395,17,"$Jacoby Ellsbury's bat tipped the glove of catcher Matt Wieters for what would be a catcher's interference; since the batter reached 1B on a single and all runners (in this case the one runner) advanced one base, the interference was ignored and the play stood; this is rule 3.08(c)",,,,,
6395,48,"replay,6,drews001,BOS,wintm901,BAL12,O,Y,I,,H $Stephen Drew's fly ball struck on top of the wall in RF and caromed back onto the field; the ball was ruled in play by 1B umpire Mike Estabrook; Jarrod Saltalamacchia scored and Drew trotted around 3B thinking he had a home run; the ball was relayed in to catcher Matt Wieters but Drew evaded Wieters and scored on what was ruled an inside the park home run by official scorer David Vincent; the Red Sox asked about the ruling on the ball in RF so crew chief Mike Winters watched the replay and overturned the call to a home run; this use of the review system changed the ruling on the field but did not change the result of the play on the field or the statistical result",,,,,
6395,57,"$as the fourth pitch was delivered to David Ortiz, he stepped back in the box; the pitch was a little high but called a strike by HP umpire Tim Timmons; Ortiz was upset and that got worse after the next called strike",,,,,
6395,58,"ej,ortid001,P,timmt901,Balls and strikes $David Ortiz took a swing at a low pitch out of the strike zone; he was very upset at the sequence of calls by HP umpire Tim Timmons and told Timmons so as he walked back to the bench; Oritz gestured that the fourth pitch was high; after going back to the bench, Ortiz smashed the phone in the dugout with his bat and continued yelling at Timmons, who ejected Ortiz; Ortiz started out of the dugout but was restrained by Red Sox manager John Farrell",,,,,
6395,72,"originally scored as single, changed to E6 on 08-09-2013, removing RBI and making run unearned",,,,,
6450,51,Astros center fielder Brandon Barnes left the game due to an injured back,,,,,
6476,35,"replay,4,flahr001,BAL,gormb901,BAL12,O,Y,I,,H $Ryan Flaherty's fly ball struck the metal railing and the top of the wall above the out of town scoreboard in RF; the ball caromed back onto the field and was ruled in play; crew chief Brian Gorman watched the replay and overturned the call to a home run",,,,,
6491,57,"ej,showb801,M,vanol901,Balls and strikes $Orioles manager Showalter ejected by HP umpire Vanover for arguing balls and strikes",,,,,
6665,57,Orioles pitcher Francisco Rodriguez left the game due to an injured groin,,,,,
6791,53,Athletics right fielder Josh Reddick left the game due to an injured wrist,,,,,
6997,8,"$between innings, Orioles manager Buck Showalter went onto the field yelling at Yankees manager Joe Girardi; the latter came onto the field and was restrained by 3B umpire Jim Wolf as HP umpire Ed Hickox restrained Showalter; the argument was apparently because Girardi had been yelling at Orioles 3B coach Bobby Dickerson during the bottom half of the first inning about sign-stealing",,,,,
7038,0,"$the official scorer credited the win to Mariano Rivera and not David Robertson, saying that Robertson's eighth- inning appearance was brief and ineffective",,,,,
7038,5,Yankees center fielder Brett Gardner left the game due to an injured side,,,,,
7038,13,"$Chris Stewart swung at the third pitch and thought it was strike three; he walked back to the bench, striking out on two strikes",,,,,
7223,62,"$hard line drive off pitcher Kyle Drabek's ankle, forcing him to leave game",,,,,
7237,32,Blue Jays pitcher Mark Buehrle left the game due to a right calf contusion after being struck by a line drive,,,,,
7247,24,"replay,3,saltj001,BOS,culbf901,BAL12,O,Y,I,,H $Jarrod Saltalamacchia hit a fly ball to RF that struck the top front edge of the roof above the grounds crew seating area; the ball was ruled a home run; Crew chief Fieldin Culbreth watched the replay and overturned the call to a ball in play; the ground rule is that the ball must strike the top of the roof not the front edge for a home run",,,,,
7277,31,Baltimore Orioles first baseman Chris Davis left the game due to a sprained left wrist,,,,,
2480,43,Reds second baseman Brandon Phillips left the game due to an injured leg,,,,,
2492,58,Cardinals first baseman Lance Berkman left the game due to an injured leg,,,,,
2716,4,Astros first baseman Carlos Lee left the game due to an injured ankle,,,,,
2745,16,"ej,schaj002,P,hudsm901,Call at 2B (threw helmet) Astros center fielder Jordan Schafer ejected by 2B umpire Marvin Hudson for throwing helmet after being called out at 2B",,,,,
2904,62,$Bryce Harper went into the tunnel behind the dugout and slammed his bat against the wall, it rebounded off the concrete and hit him above his left eye, Harper received ten stitches to close the wound,,,
2919,55,$Wilson Ramos tore his ACL chasing the passed ball, he was placed on the DL the next day,,,,
3052,59,"$Originally scored E5, changed to single on 5-24-2012",,,,,
3135,30,$Todd Frazier's bat flew out of his hands when he swung and landed inthe middle of the infield,,,,,
3321,16,$Devin Mesoraco called out for running into his own batted ball,,,,,
3321,32,Tigers pitcher Drew Smyly left the game due to an injured hand,,,,,
3321,69,fan interference,,,,,
3367,52,$Devin Mesoraco was caught in a rundown but was allowed to score when catcher Lou Marson obstructed Mesoraco,,,,,
3367,52,Reds left fielder Chris Heisey left the game due to an injured groin,,,,,
3471,36,"umpchange,4,umphome,davib902 umpchange,4,ump2b,(None) $Devin Mesoraco's bat broke and the barrel hit HP umpire Jerry Layne on the left side of his head; Layne stumbled and fell face down at the edge of the grass; both trainers ran onto the field; Layne was down for several minutes but eventually walked off the field and was taken to the hospital for evaluation; 2B umpire Bob Davidson moved behind HP; X-rays and an MRI showed no fractures, but Layne will miss the rest of the series as a precaution",,,,,
3543,46,$Reds second baseman Brandon Phillips left the game due to dizziness, he was struck by Aramis Ramirez on the caught stealing in the third inning,,,,
3543,72,"originally scored as SH, changed to straight Error on 6-28-2012; makes three runs unearned",,,,,
3759,62,"ej,cairm001,P,belld901,Fair/foul call $Miguel Cairo hit the ball straight down; it landed fair and bounced forward a bit before being grabbed by catcher Miguel Montero; HP umpire Dan Bellino bent over to watch as Montero picked up the ball and signaled fair as the catcher tagged Cairo; Cairo argued with Bellino, pointing at the ground with his bat and was ejected by Bellino",,,,,
3956,20,$Padre catcher Grandal strained left oblique on swing at first pitch, place on DL next day,,,,
3956,33,"ej,mesod001,P,fairc901,Balls and strikes (Bumped umpire) $Reds catcher Devin Mesoraco complained about the second pitch, turning around to argue with HP umpire Chad Fairchild; Farichild removed his mask, at which point Mesoraco did also; Mesoraco continued to argue while on one knee and was ejected by Fairchild; Mesoraco stood up and pointed at the umpire, touching his chest; Reds manager Dusty Baker came out and tried to move Mesoraco away but the catcher slid around and bumped Fairchild",,,,,
3983,43,Reds shortstop Wilson Valdez left the game due to an injured neck,,,,,
3983,67,$the throw to HP was cut off and Scott Rolen was trapped between 2B and 3B, Ryan Ludwick tried to reach 2B on the rundown but was tagged out,,,,
3997,24,Eddy Rodriguez homered in his first big league at bat,,,,,
4023,15,"ej,hurdc001,M,gormb901,Warnings to both teams $Josh Harrison yelled at pitcher Mike Leake, who came off the mound as if to challenge the batter; HP umpire Brian Gorman stepped between the two players and then warned both teams; Pirates Manager Clint Hurdle objected to the warnings; Aroldis Chapman had hit Andrew McCutchen in the ninth inning the previous night; the umpires declined to issue warnings before the game, so Hurdle thought that the Reds now had had two shots at his batters with none the other way; Hurdle ejected by Gorman",,,,,
4023,20,"replay,3,presa001,PIT,gormb901,CIN09,O,N,I,,H $Alex Presley's fly ball hit the yellow line at the top of the wall and caromed back onto the field; RF Jay Bruce attempted a leaping catch but missed the ball, which was ruled in play; the umpires huddled and then crew chief Brian Gorman watched the replay and upheld the call",,,,,
4038,65,"DWS: previous two plays really one, but we must split them",,,,,
4301,27,"$originally scored E1, changed to single next day",,,,,
4453,29,"$Nate Schierholtz hit a sinking liner that appeared to hit the ground in front of Drew Stubbs' glove; Stubbs threw to 2B for an apparent force out; Brandon Phillips threw to HP and pitcher Ryan Hannigan stepped on the plate for the second out of the play; however, once the out was made at 2B there was no more force play and Hannigan had to tag Ryan Howard for an out; then the umpires said that the ball was caught by Stubbs and the play at 2B put out John Mayberry who had run to 3B",,,,,
4490,24,Astros second baseman Jose Altuve left the game due to an injured side,,,,,
4519,46,Astros pitcher Edgar Gonzalez left the game due to an injured foot,,,,,
4705,62,Reds catcher Ryan Hanigan left the game due to an injured shoulder,,,,,
4949,49,Rangers pitcher Yu Darvish left the game due to an injured hand,,,,,
4949,55,Angels pitcher Jered Weaver left the game due to an injured elbow,,,,,
4987,53,$Jeff Baker called for interference,,,,,
5111,13,Rangers pitcher Nick Tepesch left the game due to an injured wrist,,,,,
5532,48,Athletics designated hitter Jed Lowrie left the game due to an injured foot,,,,,
5670,21,$Alcides Escobar called for interference for bumping Adrian Beltre on the baseline,,,,,
5670,50,"replay,6,piera001,TEX,scotd901,ARL02,O,N,I,,H $A.J. Pierzynski's fly ball struck the top of the padded wall in CF and caromed back onto the field; it was ruled in play but the Rangers asked about the call so crew chief Dale Scott watched the replay and upheld the call",,,,,
5686,6,"ej,berkl001,P,ticht901,Called third strike Rangers designated hitter Lance Berkman ejected by HP umpire Todd Tichenor",,,,,
5686,78,Rangers third baseman Adrian Beltre left the game due to an injured leg,,,,,
5804,63,"originally scored E6, changed to single on 6-12-2013",,,,,
5842,56,Rangers center fielder Leonys Martin left the game due to an injured wrist,,,,,
5857,46,"ej,andre001,P,Called third strike Rangers shortstop Elvis Andrus ejected by HP umpire Eric Cooper for yelling from the dugout after being called out on strikes",,,,,
6047,12,Reds pitcher Johnny Cueto left the game due to an injured side,,,,,
6156,21,$Jurickson Profar called for interference,,,,,
6448,17,"ej,sciom001,M,laynj901,Call at 1B Angels Manager Mike Scioscia ejected by 1B umpire Jerry Layne",,,,,
6474,59,Rangers right fielder Nelson Cruz left the game due to an injured leg,,,,,
6720,34,$catcher Carlos Corporan struck on the forehead by a foul ball and suffered a concussion, he stayed in the game for one more pitch,,,,
6736,37,$Max Stassi slid in safe under the errant throw but left the bag thinking he was out and was tagged, this was his major league debut,,,,
6751,68,$Max Stassi struck on the face,,,,,
6882,7,Rangers designated hitter Elvis Andrus left the game due to an injured back,,,,,
7007,35,Rangers center fielder Jim Adduci left the game due to an injured arm,,,,,
7007,54,Rangers pitcher Yu Darvish left the game due to an injured leg,,,,,
7061,76,Athletics pitcher Brett Anderson left the game due to back spasms,,,,,
7061,85,"ej,riosa002,P,fleta901,Call at 3B Rangers right fielder Alex Rios ejected by 3B umpire Andy Fletcher",,,,,
7061,87,"ej,garzm001,P,westj901,Bench jockeying Rangers pitcher Matt Garza ejected by 1B umpire Joe West for yelling from the bench; the Rangers were upset about the call at 3B in the previous inning on Alex Rios",,,,,
7205,3,"the potential wild pitch is a misplay, so the second out was not on continuous action",,,,,
7244,45,Angels left fielder J. B. Shuck left the game due to an injured ankle,,,,,
7290,0,$One-game playoff to break a tie for the second wild card spot,,,,,
80,51,Blue Jays shortstop Yunel Escobar left the game due to an injured head,,,,,
250,54,Blue Jays second baseman Aaron Hill left the game due to an injured leg,,,,,
290,12,Blue Jays third baseman Jayson Nix left the game due to an injured knee after Sean Rodriguez slid into him at second during the play,,,,,
494,0,"$Justin Verlander throws the second no-hitter of his career, allowing only one walk in the eighth inning on a 12-pitch plate appearance; that runner was erased on a double play, thus Verlander faced only 27 batters",,,,,
533,60,Blue Jays shortstop Yunel Escobar left the game due to an injured leg,,,,,
635,12,"$the throw by Blue Jays RF Jose Bautista hit the 2B bag and caromed into the infield where pitcher Jesse Litsch retrieved the ball and threw to second; his throw went into CF, allowing batter Elliot Johnson to advance to 3B",,,,,
757,25,$the throw in by Alex Rios bounced and hit second baseman Gordon Beckham on the side of the face under the eye, he was taken to the hospital for x-rays,,,,
787,40,"$Jose Bautista slammed his bat down after popping up and yelled at himself; pitcher John Danks yelled at Bautista as the latter ran to 1B, telling him to just run the bases; Bautista rounded 1B, went part way to 2B and then ran past the mound on the way to the dugout; Bautista and Danks exchanged more words and HP umpire David Rackley was in the vicinity just in case",,,,,
1034,42,Orioles pitcher Jeremy Guthrie left the game due to an injured back,,,,,
1034,53,"ej,molij001,P,davib902,Called third strike Blue Jays catcher Jose Molina ejected by HP umpire Bob Davidson",,,,,
1232,5,Blue Jays shortstop Yunel Escobar left the game due to an injured hand,,,,,
1232,59,"$This was originally S9, but changed next day",,,,,
1247,72,$Blue Jays pitcher Jon Rauch was not happy with a couple of the pitch calls during Ryan Howard's plate appearance,,,,,
1247,74,"ej,raucj001,P,marqa901,Call at HP ej,farrj001,M,marqa901,Call at HP $the throw home from LF Corey Patterson was up the 1B line; catcher J.P. Arencibia caught the ball and lunged back in an attempt to tag Chase Utley but Utley slid in before he was tagged; pitcher Jon Rauch, who was backing up the play at the plate, started yelling at HP umpire Alfonso Marquez, including pointing his glove at Marquez; Rauch was ejected by Marquez just as Blue Jays manager John Farrell arrived at the plate; Farrell told Rauch to go away, but Rauch went nuts; Farrell tried to restrain Rauch, who is 6-11; while they wrestled, Farrell failed to stay between the pitcher and the umpire; Farrell grabbed Rauch's shirt from behind and the shirt came off; Arencibia got in front of Rauch and the other three umpires ran in from their positions; Farrell got Rauch off the field and them went back to substitute a new pitcher; as Farrell left the field, he continued the argument with Marquez and was ejected",,,,,
1263,9,fan interference,,,,,
1374,42,Blue Jays right fielder Jose Bautista left the game due to an injured ankle,,,,,
1389,54,Blue Jays designated hitter Eric Thames left the game due to an injured leg,,,,,
1405,25,$the pitch was in the dirt and blocked by catcher J.P. Arencibia, the ball bounced a couple of feet to his right, Robinson Cano ran towards 2B but Arencibia's throw was there in pletny of time, 2B Aaron Hill ran Cano back towards 1B and Curtis Granderson broke for the plate, Hill's throw home sailed to the left Arencibia and both runners advanced, Cano was sent to 3B because the ball went out of play
1462,23,fan interference,,,,,
1539,29,$Blue Jays 3B Jose Bautista was hit on the head by the pitch,,,,,
1539,61,Orioles pitcher Jake Arrieta left the game due to an injured foot,,,,,
1581,35,Rangers right fielder Nelson Cruz left the game due to an injured leg,,,,,
1597,43,"ej,escoy001,P,hudsm901,Call at 1B $Blue Jays shortstop Yunel Escobar argued the close call and was ejected by 1B umpire Marvin Hudson; the Blue Jays thought Michael Young's foot was off the bag when he caught the throw",,,,,
1964,0,$bench coach Don Wakamatsu managed the Blue Jays because manager John Farrell missed the game due to a sore back and pneumonia,,,,,
1964,46,"ej,bautj002,P,welkb901,Balls and strikes $Blue Jays RF Jose Bautista went back to the dugout after his third strikeout of the game angry with HP umpire Bill Welke's strike zone; Bautista swung his bat at the wall, making a dent and a loud sound that could be heard in the press box; Bautista then yelled at Welke, who ejected Bautista; Bautista threw his bat, helmet, elbow pad and a water bottle onto the field before leaving the dugout",,,,,
1977,29,fan interference,,,,,
1977,35,fan interference,,,,,
1977,45,"replay,6,uptob001,TBA,tscht901,TOR02,F,N,I,,H $B.J. Upton hit the third pitch down the LF line; it was hard to tell if it was fair or foul because of the light color of the pole; it was ruled foul; crew chief Tim Tschida watched the replay and upheld the call",,,,,
1977,62,"Previous two plays actually one, but separated for now",,,,,
2104,34,Red Sox pitcher Josh Beckett left the game due to a sprained right ankle,,,,,
2134,28,fan interference,,,,,
2172,22,Blue Jays shortstop Yunel Escobar left the game due to an injured elbow,,,,,
9731,39,"replay,5,butlb003,OAK,gormb901,OAK01,,Y,M,OAK,C $when Sam Fuld was called out at 2B, Athletics manager Bob Melvin challenged the ruling; the call was overturned by replay because Rougned Odor dropped the ball while stretching back to touch the bag",,,,,
9753,24,"replay,3,canhm001,OAK,millb901,OAK01,O,N,U,,H $Mark Canha's fly ball caromed off the top of the padded wall back onto the field; it was ruled in play; crew chief Bill Miller requested a review, which upheld the call by replay",,,,,
9753,30,"originally scored as E6, changed to single on 04-09-2015",,,,,
9753,46,"replay,5,ladet001,OAK,millb901,OAK01,,N,M,TEX,C $when Tyler Ladendorf was called safe at 1B, Rangers manager Jeff Bannister challenged the ruling; the call was upheld by replay",,,,,
9763,8,"replay,1,andre001,TEX,millb901,OAK01,,Y,M,OAK,C $when Ryan Rua was called safe at 2B, Athletics manager Bob Melvin challenged the ruling; the call was overturned by replay",,,,,
9793,53,"replay,7,ladet001,OAK,gormb901,OAK01,,N,M,OAK,A $when Josh Phegley was called out at HP, Athletics manager Bob Melvin challenged the ruling; the call was upheld by replay",,,,,
9793,57,"replay,8,ruggj001,SEA,gormb901,OAK01,,Y,M,SEA,C $when Austin Jackson was called out at 2B, Mariners manager Lloyd McClendon challenged the ruling; the call was overturned by replay because Marcus Semien did not step on the bag",,,,,
9808,47,Mariners pitcher Felix Hernandez left the game due to an injured leg,,,,,
9993,30,"ej,melvb001,M,wolcq901,Balls and strikes Athletics Manager Bob Melvin ejected by HP umpire Quinn Wolcott",,,,,
9993,76,"replay,9,sprig001,HOU,cedeg901,OAK01,,N,M,OAK,A $when Jake Marisnick was called safe at 3B, Athletics acting manager Mike Aldrete challenged the ruling; the call was upheld by replay",,,,,
10036,41,Angels first baseman Albert Pujols left the game due to an injured leg,,,,,
10046,29,"replay,4,buted001,ANA,barrt901,OAK01,,Y,M,ANA,A $when David Freese was called out at 3B after being picked off 2B, Angels manager Mike Scioscia challenged the ruling; the call was overturned by replay",,,,,
10194,32,Athletics first baseman Ike Davis left the game due to an injured leg,,,,,
10194,47,"replay,6,ramih003,BOS,vanol901,OAK01,,N,M,BOS,A $when David Ortiz was called out at 2B, Red Sox manager John Farrell challenged the ruling; the call was upheld by replay",,,,,
10208,51,"$originally scored as E6, changed to E3 on 05-13-2015; single removed on 05-14-2015, making run unearned; original scoring restored on 05-18-2015",,,,,
10208,55,"replay,7,sandp001,BOS,vanol901,OAK01,,Y,M,OAK,C $when Pablo Sandoval was called safe at 1B, Athletics manager Bob Melvin challenged the ruling; the call was overturned by replay",,,,,
10248,56,"replay,6,butlb003,OAK,barrt901,OAK01,,N,M,CHA,A $when Josh Reddick was called safe at HP, White Sox manager Robin Ventura challenged the ruling; the call was upheld by replay",,,,,
10419,22,Athletics pitcher Scott Kazmir left the game due to an injured shoulder,,,,,
10419,34,"replay,5,davir003,DET,kellj901,OAK01,,N,M,DET,A $when Anthony Gose was called out at 2B, Tigers manager Brad Ausmus challenged the ruling; the call was upheld by replay",,,,,
10427,26,"replay,4,mccab002,NYA,demud901,OAK01,,Y,M,NYA,A $when Alex Rodriguez was called out at HP, Yankees manager Joe Girardi challenged the ruling; the call was overturned by replay",,,,,
10592,69,"replay,8,vogts001,OAK,millb901,OAK01,,N,M,TEX,A $when Ben Zobrist was called safe at HP, Rangers manager Jeff Banister challenged the ruling; the call was upheld by replay",,,,,
10607,2,"replay,1,choos001,OAK,millb901,OAK01,,Y,M,OAK,A $when Delino DeShields was called safe at 1B on a pickoff attempt, Athletics manager Bob Melvin challenged the ruling; the call was overturned by replay",,,,,
10607,81,"replay,9,burnb002,OAK,millb901,OAK01,,N,M,TEX,A $when Sam Fuld was called safe at 2B, Rangers manager Jeff Banister challenged the ruling; the call was upheld by replay",,,,,
10747,68,"replay,8,lawrb002,OAK,joycj901,OAK01,,Y,M,ANA,C $when Brett Lawrie was called safe at 1B, Angels manager Mike Scioscia challenged the ruling; the call was overturned by replay",,,,,
10762,15,"replay,2,davii001,OAK,joycj901,OAK01,,N,M,OAK,A $when Brett Lawrie was called out at 3B, Athletics manager Bob Melvin challenged the ruling; the call was upheld by replay; Lawrie was safe but slid off the bag",,,,,
10850,61,Royals designated hitter Eric Hosmer left the game due to an injured hand,,,,,
10850,66,Royals shortstop Alcides Escobar left the game due to an injured hand,,,,,
10850,70,"replay,8,davii001,OAK,culbf901,OAK01,,N,M,OAK,D $when Alex Gordon was ruled to have caught the ball, Athletics manager Bob Melvin challenged the ruling; the call was upheld by replay",,,,,
10935,10,"replay,1,reddj001,OAK,wintm901,OAK01,,Y,M,OAK,C $when Josh Reddick was called out at 1B, Athletics manager Bob Melvin challenged the ruling; the call was overturned by replay",,,,,
10950,34,"replay,5,canhm001,OAK,wintm901,OAK01,,Y,M,OAK,C $when Mark Canha was called out at 1B, Athletics manager Bob Melvin challenged the ruling; the call was overturned by replay",,,,,
11117,21,$Billy Burns called for interference for running into his own bunt,,,,,
11133,42,"ej,melvb001,M,wendh902,Balls and strikes Athletics Manager Bob Melvin ejected by HP umpire Hunter Wendelstedt",,,,,
11133,91,"replay,10,davii001,OAK,wendh902,OAK01,,N,M,TOR,C $when Ike Davis was called safe at 1B, Blue Jays manager John Gibbons challenged the ruling; the call was upheld by replay, thus ending the game",,,,,
11144,17,"replay,2,lawrb002,OAK,wendh902,OAK01,,Y,M,TOR,C $when Brett Lawrie was called safe at 1B, Blue Jays manager John Gibbons challenged the ruling; the call was overturned by replay",,,,,
11255,24,"replay,4,branm003,CLE,davig901,OAK01,,Y,M,OAK,A $when Francisco Lindor was called safe at 1B, Athletics manager Bob Melvin challenged the ruling; the call was overturned by replay",,,,,
11270,59,"replay,8,vogts001,OAK,davig901,OAK01,,N,M,CLE,A $when Sam Fuld was called safe at 2B, Indians manager Terry Francona challanged the ruling; the call was upheld by replay",,,,,
11285,41,Athletics right fielder Josh Reddick left the game due to an injured back,,,,,
11309,52,"replay,6,crisc001,OAK,marqa901,OAK01,,Y,M,BAL,A $when Billy Burns was called safe at 2B, Orioles manager Buck Showalter challenged the ruling; the call was overturned by replay",,,,,
11324,25,"replay,3,lawrb002,OAK,marqa901,OAK01,,N,M,BAL,A $when Billy Burns was called safe at 2B, Orioles manager Buck Showalter challenged the ruling; the call was upheld by replay",,,,,
11336,75,"replay,9,burnb002,OAK,nelsj901,OAK01,,N,M,HOU,C $when Billy Burns was called safe at 1B, Astros manager A.J. Hinch challenged the ruling; the call was upheld by replay",,,,,
11364,20,Athletics left fielder Coco Crisp left the game due to nausea,,,,,
11379,23,"replay,3,crisc001,OAK,nelsj901,OAK01,,Y,M,HOU,A $when Billy Burns was called safe at 1B, Astros manager A.J. Hinch challenged the ruling; the call was overturned by replay",,,,,
